,index,election_date,election_type,harmonised_code,harmonised_name,type,name,party_name,votes,nuts3_code,nuts3_name
7773,12,2000-11-26,house,RO121,Alba,2,C ITRO - IS2,,1641,RO121,Alba
7774,13,2000-11-26,house,RO121,Alba,2,PMR,,1412,RO121,Alba
7775,14,2000-11-26,house,RO121,Alba,2,PSM,Partidul Socialist al Muncii,1385,RO121,Alba
7776,15,2000-11-26,house,RO121,Alba,2,PDPRD,,1237,RO121,Alba
7777,16,2000-11-26,house,RO121,Alba,2,C - ROMII,,1165,RO121,Alba
7778,17,2000-11-26,house,RO121,Alba,2,U - CROATI,,959,RO121,Alba
7779,18,2000-11-26,house,RO121,Alba,2,PRN,,929,RO121,Alba
7780,19,2000-11-26,house,RO121,Alba,2,G2K,,750,RO121,Alba
7781,20,2000-11-26,house,RO121,Alba,2,PNDC,,736,RO121,Alba
7782,21,2000-11-26,house,RO121,Alba,2,PSAP,,703,RO121,Alba
7783,22,2000-11-26,house,RO121,Alba,2,PVR,,683,RO121,Alba
