"CIRCOSCRIZIONE";"REGIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTILISTA"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"SOCIALISTI UNITI";"1395"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"AB.SCORP.VERDI VERDI";"315"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"LISTA CONSUMATORI";"279"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"UNIONE DI CENTRO";"1625"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"ROCCANOVA";1551;765;1275;630;225;"LEGA NORD";"2"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"ROCCANOVA";1551;765;1275;630;225;"LISTA EMMA BONINO";"3"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"ROCCANOVA";1551;765;1275;630;225;"RIFONDAZIONE COMUNISTA";"66"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"ROCCANOVA";1551;765;1275;630;225;"DIPIETRO OCCHETTO";"8"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"ROCCANOVA";1551;765;1275;630;225;"SOCIALISTI UNITI";"9"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"ROCCANOVA";1551;765;1275;630;225;"A.P. UDEUR";"3"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"ROCCANOVA";1551;765;1275;630;225;"MOV.IDEA SOC. RAUTI";"2"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"ROCCANOVA";1551;765;1275;630;225;"PARTITO PENSIONATI";"5"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"ROCCANOVA";1551;765;1275;630;225;"PRI I LIBERAL SGARBI";"4"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"ROCCANOVA";1551;765;1275;630;225;"UNITI NELL'ULIVO";"566"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"ROCCANOVA";1551;765;1275;630;225;"ALTERNATIVA SOCIALE";"4"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"ROCCANOVA";1551;765;1275;630;225;"PAESE NUOVO";"3"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"ROCCANOVA";1551;765;1275;630;225;"P.SEGNI SCOGNAMIGLIO";"2"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"ROCCANOVA";1551;765;1275;630;225;"FED.DEI VERDI";"7"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"ROCCANOVA";1551;765;1275;630;225;"FIAMMA TRICOLORE";"7"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"ROCCANOVA";1551;765;1275;630;225;"FORZA ITALIA";"109"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"ROCCANOVA";1551;765;1275;630;225;"COMUNISTI ITALIANI";"87"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"ROCCANOVA";1551;765;1275;630;225;"AB.SCORP.VERDI VERDI";"1"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"ROCCANOVA";1551;765;1275;630;225;"ALLEANZA NAZIONALE";"60"
